Bahia - Mapa de Pobreza e Desigualdade - Municípios Brasileiros: Incidência da Pobreza

Cidade;%
Abaíra;25,71
Abaré;41,67
Acajutiba;58,01
Adustina;53,34
Água Fria;33,65
Érico Cardoso;35,06
Aiquara;47,00
Alagoinhas;39,84
Alcobaça;40,34
Almadina;58,40
Amargosa;41,79
Amélia Rodrigues;47,95
América Dourada;53,65
Anagé;58,14
Andaraí;51,48
Andorinha;56,04
Angical;55,61
Anguera;22,93
Antas;41,11
Antônio Cardoso;35,54
Antônio Gonçalves;56,43
Aporá;35,11
Apuarema;54,74
Aracatu;35,90
Araças;54,56
Araci;48,58
Aramari;44,89
Arataca;59,88
Aratuípe;48,88
Aurelino Leal;69,91
Baianópolis;42,94
Baixa Grande;34,36
Banzaê;37,77
Barra;53,22
Barra da Estiva;38,31
Barra do Choça;40,18
Barra do Mendes;34,17
Barra do Rocha;50,54
Barreiras;40,90
Barro Alto;38,02
Barrocas;-
Barro Preto;55,98
Belmonte;53,07
Belo Campo;54,49
Biritinga;20,06
Boa Nova;59,12
Boa Vista do Tupim;49,71
Bom Jesus da Lapa;44,30
Bom Jesus da Serra;39,57
Boninal;27,38
Bonito;44,59
Boquira;36,51
Botuporã;34,88
Brejões;27,95
Brejolândia;46,17
Brotas de Macaúbas;28,39
Brumado;40,67
Buerarema;66,88
Buritirama;40,03
Caatiba;54,33
Cabaceiras do Paraguaçu;26,47
Cachoeira;41,75
Caculé;42,61
Caém;37,72
Caetanos;61,59
Caetité;39,88
Cafarnaum;45,10
Cairu;66,85
Caldeirão Grande;32,57
Camacan;57,99
Camaçari;57,51
Camamu;51,69
Campo Alegre de Lourdes;49,16
Campo Formoso;40,00
Canápolis;46,85
Canarana;31,92
Canavieiras;55,81
Candeal;28,18
Candeias;58,76
Candiba;44,23
Cândido Sales;52,78
Cansanção;44,72
Canudos;52,52
Capela do Alto Alegre;33,23
Capim Grosso;43,62
Caraíbas;42,61
Caravelas;52,90
Cardeal da Silva;46,08
Carinhanha;55,05
